"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.586948460E-1,4.788403213E-2,-3.411737382E-1,9.969455719E0,9.975406745E0
6.612223460E-1,3.830722719E-2,-3.363853395E-1,9.988609314E0,9.994345330E0
6.637502110E-1,1.915361360E-2,-3.411737382E-1,9.998186111E0,1.000402379E1
6.662782840E-1,9.576806799E-3,-3.411737382E-1,9.974244118E0,9.980082011E0
6.688064610E-1,1.436521020E-2,-3.363853395E-1,9.931148529E0,9.936854259E0
6.713339610E-1,4.788403213E-2,-3.220201433E-1,9.868899345E0,9.874267778E0
6.738587000E-1,7.182604820E-2,-3.076549172E-1,9.777919769E0,9.783022311E0
6.763807320E-1,9.097966552E-2,-2.932897210E-1,9.691728592E0,9.696592147E0
6.789029710E-1,1.005564705E-1,-2.789244950E-1,9.624691010E0,9.629256851E0
6.814254710E-1,9.097966552E-2,-2.789244950E-1,9.562441826E0,9.566941510E0
6.839483360E-1,1.005564705E-1,-2.885012925E-1,9.524134636E0,9.529033800E0
6.864716170E-1,1.101332754E-1,-2.980781198E-1,9.524134636E0,9.529434425E0
6.889953670E-1,1.197100878E-1,-3.076549172E-1,9.519346237E0,9.525068758E0
6.915195860E-1,1.244984865E-1,-3.076549172E-1,9.504981041E0,9.510773681E0
6.940442730E-1,1.244984865E-1,-3.028665185E-1,9.514557838E0,9.520191115E0
6.965694290E-1,1.244984865E-1,-3.172317147E-1,9.519346237E0,9.525444274E0
6.990950020E-1,1.197100878E-1,-3.268085420E-1,9.519346237E0,9.525706646E0
7.016209400E-1,1.244984865E-1,-3.363853395E-1,9.524134636E0,9.530886398E0
7.041471900E-1,1.197100878E-1,-3.363853395E-1,9.552865028E0,9.559535337E0
7.066737000E-1,1.053448766E-1,-3.411737382E-1,9.586383820E0,9.593031419E0
7.092003670E-1,1.005564705E-1,-3.363853395E-1,9.610325813E0,9.616736917E0
7.117271380E-1,1.053448766E-1,-3.220201433E-1,9.658209801E0,9.664150820E0
7.142593250E-1,9.097966552E-2,-3.411737382E-1,9.725247383E0,9.731655228E0
7.167793250E-1,6.703764945E-2,-3.315969408E-1,9.787496567E0,9.793341596E0
7.192994820E-1,7.661445439E-2,-3.268085420E-1,9.840168953E0,9.845892475E0
7.218200020E-1,7.661445439E-2,-3.363853395E-1,9.892841339E0,9.898855218E0
7.243410440E-1,7.661445439E-2,-3.220201433E-1,9.940725327E0,9.946234803E0
7.268627110E-1,6.703764945E-2,-3.315969408E-1,9.969455719E0,9.975194129E0
7.293851070E-1,4.788403213E-2,-3.220201433E-1,9.988609314E0,9.993913442E0
7.319082840E-1,3.830722719E-2,-3.172317147E-1,9.993397713E0,9.998504951E0
7.344322940E-1,4.788403213E-2,-3.220201433E-1,9.993397713E0,9.998699300E0
7.369571380E-1,6.703764945E-2,-3.124433160E-1,1.001733971E1,1.002243532E1
7.394827630E-1,6.703764945E-2,-2.980781198E-1,1.003170490E1,1.003635630E1
7.420091170E-1,6.703764945E-2,-2.932897210E-1,1.004128170E1,1.004578773E1
7.445360960E-1,6.703764945E-2,-3.028665185E-1,1.006043530E1,1.006521637E1
7.470635960E-1,7.661445439E-2,-3.076549172E-1,1.004607010E1,1.005107187E1
7.495914610E-1,9.576806426E-2,-3.172317147E-1,1.003170490E1,1.003717643E1
7.521195340E-1,1.005564705E-1,-3.172317147E-1,1.002691650E1,1.003243750E1
7.546477110E-1,9.097966552E-2,-3.076549172E-1,1.000297451E1,1.000811810E1
7.571752110E-1,9.097966552E-2,-3.124433160E-1,9.974244118E0,9.979551285E0
7.596999500E-1,9.097966552E-2,-3.124433160E-1,9.945513725E0,9.950836215E0
7.622219820E-1,8.619125932E-2,-3.028665185E-1,9.935936928E0,9.940925495E0
7.647442210E-1,9.576806426E-2,-2.980781198E-1,9.945513725E0,9.950440460E0
7.672667210E-1,9.576806426E-2,-3.028665185E-1,9.959878922E0,9.964942939E0
7.697895860E-1,8.619125932E-2,-3.220201433E-1,9.959878922E0,9.965456038E0
7.723128670E-1,7.661445439E-2,-3.172317147E-1,9.959878922E0,9.965224226E0
7.748366170E-1,7.182604820E-2,-3.124433160E-1,9.955090523E0,9.960251358E0
7.773608360E-1,7.182604820E-2,-3.124433160E-1,9.931148529E0,9.936321800E0
7.798855230E-1,6.224924326E-2,-3.028665185E-1,9.911994934E0,9.916816358E0
7.824106790E-1,4.788403213E-2,-3.124433160E-1,9.873687744E0,9.878746043E0
7.849362520E-1,4.788403213E-2,-3.124433160E-1,9.840168953E0,9.845244473E0
7.874621900E-1,5.267243832E-2,-3.076549172E-1,9.825803757E0,9.830760164E0
7.899884400E-1,5.267243832E-2,-3.220201433E-1,9.806650162E0,9.812077189E0
7.925149500E-1,5.746084079E-2,-3.220201433E-1,9.777919769E0,9.783389685E0
7.950416170E-1,6.703764945E-2,-3.268085420E-1,9.749189377E0,9.754895764E0
7.975683880E-1,6.703764945E-2,-3.172317147E-1,9.749189377E0,9.754579617E0
8.001005750E-1,7.661445439E-2,-3.124433160E-1,9.739612579E0,9.744924002E0
8.026205750E-1,8.140286058E-2,-3.172317147E-1,9.720458984E0,9.725974771E0
8.051407320E-1,9.097966552E-2,-3.028665185E-1,9.710882187E0,9.716029965E0
8.076612520E-1,9.576806426E-2,-2.980781198E-1,9.720458984E0,9.725499728E0
8.101822940E-1,9.576806426E-2,-2.932897210E-1,9.734824181E0,9.739712122E0
8.127039610E-1,1.005564705E-1,-2.885012925E-1,9.763554573E0,9.768333660E0
