"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.398831890E-1,2.756000031E-3,1.515999995E-2,-4.658599943E-2,4.906808003E-2
8.448792640E-1,1.206600014E-2,6.866000127E-3,-4.183200002E-2,4.407546418E-2
8.498755100E-1,8.702999912E-3,4.060000181E-3,-3.946299851E-2,4.061470251E-2
8.548715120E-1,3.128000069E-3,-1.007999992E-3,-4.427000135E-2,4.439181758E-2
8.598675870E-1,-1.857999945E-3,-1.041899994E-2,-4.426699877E-2,4.551455705E-2
8.648638180E-1,-4.021000117E-3,-9.445999749E-3,-3.705500066E-2,3.845085730E-2
8.698598340E-1,-3.611000022E-3,-3.786999965E-3,-3.941800073E-2,3.976379599E-2
8.748561400E-1,1.449999982E-3,6.180000026E-3,-4.897800088E-2,4.938764492E-2
8.798521420E-1,3.798000049E-3,3.346000100E-3,-4.420400038E-2,4.449285528E-2
8.848482240E-1,1.151000033E-3,7.430000114E-4,-3.703200072E-2,3.705733298E-2
8.898442240E-1,3.510999959E-3,8.027000353E-3,-3.223999962E-2,3.340924170E-2
8.948404520E-1,7.953000255E-3,2.703000093E-3,-3.465300053E-2,3.565651229E-2
8.998367880E-1,7.333000191E-3,-2.157999901E-3,-3.945299983E-2,4.018667753E-2
9.048327900E-1,-5.200000014E-3,5.920000258E-4,-4.423899949E-2,4.454749757E-2
9.098287710E-1,2.500999952E-3,6.189999986E-4,-4.423199967E-2,4.430697413E-2
9.148248460E-1,7.147000171E-3,7.489999989E-4,-4.422999918E-2,4.480997032E-2
9.198208340E-1,6.604999769E-3,-1.629999955E-3,-4.184199870E-2,4.239145877E-2
9.248171400E-1,1.316000009E-3,-8.597999811E-3,-3.944699839E-2,4.039459294E-2
9.298131420E-1,-1.080800034E-2,-1.008300018E-2,-3.942200169E-2,4.210194747E-2
9.348093710E-1,-7.524000015E-3,2.819000045E-3,-4.177600145E-2,4.254164589E-2
9.398054490E-1,-6.808000151E-3,1.233099960E-2,-4.655899853E-2,4.864301348E-2
9.448014450E-1,-1.332900021E-2,1.385600027E-2,-4.178899899E-2,4.599968942E-2
9.497976730E-1,-7.329000160E-3,3.267999971E-3,-3.701400012E-2,3.787387321E-2
9.547937380E-1,-1.848999993E-3,-4.027999938E-3,-3.700799868E-2,3.727245029E-2
9.597897380E-1,-6.413000170E-3,-1.228000037E-3,-3.699300066E-2,3.756483266E-2
9.647859670E-1,-1.009000000E-3,-3.457000013E-3,-4.176900163E-2,4.192396006E-2
9.697820360E-1,1.541999984E-3,-3.087999998E-3,-4.175399989E-2,4.189642007E-2
9.747780360E-1,1.479999977E-3,-3.560000041E-4,-3.934999928E-2,3.937943091E-2
9.797742650E-1,3.712000092E-3,-2.652999945E-3,-3.934900090E-2,3.961263972E-2
9.847702810E-1,8.248999715E-3,-2.253999934E-3,-3.455299884E-2,3.559545253E-2
9.897663560E-1,-1.974999905E-3,2.888000105E-3,-3.215799853E-2,3.234776714E-2
9.947625860E-1,-1.853000023E-3,2.794000087E-3,-4.173500091E-2,4.186944407E-2
9.997586700E-1,3.164000111E-3,2.626999980E-3,-4.892000183E-2,4.909255142E-2
1.004754899E0,-1.815999974E-3,9.899999714E-5,-4.413700104E-2,4.417445549E-2
1.009750901E0,-3.982999828E-3,-4.511999898E-3,-4.412899911E-2,4.453752343E-2
1.014746976E0,-3.672000021E-3,-4.046000075E-3,-3.932100162E-2,3.969880186E-2
1.019742949E0,1.395000028E-3,3.550000023E-3,-3.451799974E-2,3.472809858E-2
1.024739178E0,6.018999964E-3,8.194000460E-3,-4.170800000E-2,4.292932877E-2
1.029735486E0,5.570000038E-3,5.276000127E-3,-3.933599964E-2,4.007719982E-2
1.034731474E0,1.004999969E-2,4.891000222E-3,-2.977300063E-2,3.180182296E-2
1.039727551E0,4.561000038E-3,4.619000014E-3,-3.218600154E-2,3.283407647E-2
1.044723779E0,-2.952999901E-3,9.165000170E-3,-3.938100114E-2,4.054109875E-2
1.049719790E0,-3.410000063E-4,8.445000276E-3,-3.460799903E-2,3.562510221E-2
1.054715865E0,-2.490000043E-4,2.985999919E-3,-3.462800011E-2,3.475739616E-2
1.059712092E0,-2.559999935E-3,-4.397000186E-3,-4.181699827E-2,4.212539086E-2
1.064708094E0,-4.767999984E-3,-6.237000227E-3,-4.179700091E-2,4.252791179E-2
1.069704169E0,-4.395000171E-3,-7.360000163E-4,-4.416500032E-2,4.438924392E-2
1.074700395E0,8.399999933E-4,4.298999906E-3,-3.936300054E-2,3.960596940E-2
1.079696397E0,1.030899957E-2,1.706999959E-3,-3.697700053E-2,3.842509453E-2
1.084692467E0,1.188000012E-2,-3.060000017E-3,-3.938100114E-2,4.124756058E-2
1.089688698E0,6.136999931E-3,-2.729000058E-3,-3.220200166E-2,3.289497105E-2
1.094684776E0,3.275000025E-3,-5.199999941E-5,-3.219899908E-2,3.236516446E-2
1.099681000E0,-1.734000049E-3,4.788999911E-3,-4.177699983E-2,4.208632784E-2
1.104677002E0,-6.302999798E-3,6.845000200E-3,-3.939099982E-2,4.047508742E-2
1.109673072E0,1.490000053E-3,1.534000039E-3,-3.460999951E-2,3.467600499E-2
