"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.166866529E1,-3.878606856E-1,1.328781992E-1,9.821015358E0,9.829569430E0
6.167119076E1,-3.974374831E-1,1.376665980E-1,9.825803757E0,9.834801885E0
6.167371654E1,-3.926490843E-1,1.280897856E-1,9.811438560E0,9.820127643E0
6.167624259E1,-3.830722570E-1,1.376665980E-1,9.816226959E0,9.824663259E0
6.167876878E1,-3.830722570E-1,1.328781992E-1,9.844957352E0,9.853303315E0
6.168129509E1,-3.878606856E-1,1.280897856E-1,9.840168953E0,9.848642948E0
6.168382680E1,-3.830722570E-1,1.328781992E-1,9.830592155E0,9.838950305E0
6.168634623E1,-3.782838583E-1,1.424549967E-1,9.835380554E0,9.843683393E0
6.168886582E1,-3.926490843E-1,1.520318091E-1,9.835380554E0,9.844389144E0
6.169138576E1,-4.022258818E-1,1.424549967E-1,9.835380554E0,9.844632534E0
6.169390623E1,-3.878606856E-1,1.424549967E-1,9.825803757E0,9.834487724E0
6.169642732E1,-3.878606856E-1,1.376665980E-1,9.821015358E0,9.829635327E0
6.169894915E1,-3.926490843E-1,1.376665980E-1,9.830592155E0,9.839393656E0
6.170147175E1,-3.926490843E-1,1.424549967E-1,9.821015358E0,9.829893661E0
6.170399519E1,-3.926490843E-1,1.472434103E-1,9.811438560E0,9.820396150E0
6.170651946E1,-3.878606856E-1,1.424549967E-1,9.816226959E0,9.824919392E0
6.170904457E1,-3.926490843E-1,1.376665980E-1,9.825803757E0,9.834609543E0
6.171157040E1,-3.878606856E-1,1.376665980E-1,9.830592155E0,9.839203735E0
6.171409686E1,-3.782838583E-1,1.376665980E-1,9.821015358E0,9.829262100E0
6.171662384E1,-3.830722570E-1,1.376665980E-1,9.825803757E0,9.834231841E0
6.171915123E1,-3.878606856E-1,1.280897856E-1,9.835380554E0,9.843858672E0
6.172167889E1,-3.878606856E-1,1.233013868E-1,9.844957352E0,9.853366146E0
6.172420665E1,-3.926490843E-1,1.328781992E-1,9.830592155E0,9.839327825E0
6.172673436E1,-3.974374831E-1,1.424549967E-1,9.816226959E0,9.825302117E0
6.172925863E1,-3.974374831E-1,1.233013868E-1,9.821015358E0,9.829827183E0
6.173178019E1,-3.878606856E-1,1.185129806E-1,9.825803757E0,9.834170057E0
6.173430196E1,-3.878606856E-1,1.376665980E-1,9.835380554E0,9.843987944E0
6.173682399E1,-3.974374831E-1,1.424549967E-1,9.844957352E0,9.854006050E0
6.173934639E1,-3.878606856E-1,1.328781992E-1,9.840168953E0,9.848706390E0
6.174186920E1,-3.926490843E-1,1.233013868E-1,9.830592155E0,9.839203152E0
6.174439248E1,-3.974374831E-1,1.376665980E-1,9.835380554E0,9.844369929E0
6.174691623E1,-3.878606856E-1,1.376665980E-1,9.830592155E0,9.839203735E0
6.174944045E1,-3.974374831E-1,1.376665980E-1,9.821015358E0,9.830017869E0
6.175196514E1,-4.070142806E-1,1.424549967E-1,9.825803757E0,9.835261741E0
6.175449024E1,-3.974374831E-1,1.328781992E-1,9.825803757E0,9.834736023E0
6.175701571E1,-3.926490843E-1,1.376665980E-1,9.840168953E0,9.848961895E0
6.175954149E1,-4.070142806E-1,1.328781992E-1,9.835380554E0,9.844695419E0
6.176206753E1,-3.974374831E-1,1.376665980E-1,9.830592155E0,9.839585905E0
6.176459373E1,-3.782838583E-1,1.328781992E-1,9.825803757E0,9.833980616E0
6.176712003E1,-3.830722570E-1,1.424549967E-1,9.821015358E0,9.829515779E0
6.176965175E1,-3.878606856E-1,1.424549967E-1,9.830592155E0,9.839271897E0
6.177217102E1,-3.926490843E-1,1.233013868E-1,9.844957352E0,9.853555794E0
6.177469045E1,-3.974374831E-1,1.280897856E-1,9.835380554E0,9.844240661E0
