"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.347126060E-1,7.332675159E-3,-6.464719772E-4,1.359748840E-2,1.546213898E-2
7.395393770E-1,1.674820483E-2,-1.488304138E-2,6.365776062E-3,2.329228178E-2
7.443660960E-1,4.759296775E-3,-1.236206293E-2,1.580524445E-2,2.062225152E-2
7.491928670E-1,-2.354785800E-3,-5.116313696E-3,2.753829956E-2,2.810835507E-2
7.540195850E-1,9.515196085E-3,-1.691398025E-2,2.493762970E-2,3.159916232E-2
7.588463040E-1,1.413932443E-2,6.950378418E-3,1.286411285E-2,2.033995219E-2
7.636730750E-1,6.887950003E-3,-1.209530234E-2,1.275730133E-2,1.888091447E-2
7.684997940E-1,1.159139723E-2,-4.910081625E-3,1.739597321E-2,2.147298943E-2
7.733265130E-1,9.137846529E-3,-2.530783415E-3,5.386352539E-3,1.090494831E-2
7.781532830E-1,6.703905761E-3,-9.604275227E-3,1.008892059E-2,1.545867956E-2
7.829800020E-1,6.633147597E-3,-8.285045624E-6,2.661418915E-2,2.742833899E-2
7.878067730E-1,4.219226539E-3,-1.187732816E-2,2.876567841E-2,3.140600342E-2
7.926334920E-1,6.542898715E-3,8.100271225E-5,2.140808105E-2,2.238575483E-2
7.974602100E-1,-1.013670862E-2,7.194280624E-3,1.648330688E-2,2.064485266E-2
8.022869810E-1,1.128882170E-2,4.727602005E-3,1.871776581E-2,2.236386534E-2
8.071137000E-1,-3.056600690E-3,-7.181257010E-3,9.071350098E-3,1.196673107E-2
8.119404710E-1,-6.431639194E-4,2.394199371E-3,3.272533417E-2,3.281910034E-2
8.167671900E-1,1.121255755E-2,1.186075807E-2,2.533340454E-2,3.013603183E-2
8.215939080E-1,-1.739951968E-2,7.011443377E-3,6.138801575E-3,1.973799656E-2
8.264206790E-1,1.829467714E-2,4.575431347E-3,1.320552826E-2,2.302207115E-2
8.312473980E-1,-3.226928413E-3,-2.586752176E-3,3.603935242E-3,5.485681638E-3
8.360741170E-1,1.342438906E-2,4.548728466E-3,1.306533813E-2,1.927714224E-2
8.409008880E-1,1.432366669E-3,-2.612143755E-3,1.770210266E-2,1.795102805E-2
8.457276060E-1,3.747589886E-3,-7.281869650E-3,8.065223694E-3,1.149425460E-2
8.505543770E-1,6.046049297E-3,-1.671776175E-2,1.511478424E-2,2.333441606E-2
8.553810960E-1,2.256179601E-2,2.399891615E-3,1.736068726E-2,2.856899685E-2
8.602078150E-1,3.404133022E-3,-4.743129015E-3,1.247024536E-2,1.376925611E-2
8.650345850E-1,5.762897432E-3,-2.306252718E-3,1.236724854E-2,1.383758016E-2
8.698613040E-1,2.708505094E-2,-1.418527961E-2,7.518768311E-3,3.148577487E-2
8.746880750E-1,1.023511589E-2,-1.644501090E-2,2.169322968E-2,2.908250667E-2
8.795147940E-1,-4.073224962E-3,2.974867821E-4,2.388477325E-2,2.423142698E-2
8.843415130E-1,-1.652158797E-3,3.194510937E-4,2.330780029E-3,2.874754465E-3
8.891682830E-1,1.024026424E-2,3.120899200E-4,1.417541504E-2,1.749007728E-2
8.939950020E-1,-1.753531396E-3,7.423460484E-3,4.565238953E-3,8.889546929E-3
8.988217210E-1,-1.812115312E-3,-2.105474472E-3,4.527091980E-3,5.311435442E-3
9.036484920E-1,5.335882306E-3,2.163618803E-2,2.110004425E-2,3.068889278E-2
9.084752100E-1,7.706858218E-3,1.247227192E-4,6.688117981E-3,1.020500571E-2
9.133019810E-1,5.254849792E-3,-6.999641657E-3,9.004592896E-3,1.255751261E-2
9.181287000E-1,1.706056297E-2,-4.544019699E-3,1.842308044E-2,2.551706913E-2
9.229554190E-1,7.411964238E-3,1.212850213E-2,1.589679718E-2,2.132477288E-2
9.277821900E-1,4.933267832E-3,2.560317516E-3,-3.218650818E-3,6.422777466E-3
9.326089080E-1,-2.211399376E-3,2.154618502E-2,6.300926208E-3,2.255726152E-2
9.374356790E-1,1.375377178E-4,9.496808052E-3,8.619308472E-3,1.282578490E-2
9.422623980E-1,2.436913550E-3,-7.888674736E-5,1.427650452E-3,2.825412639E-3
9.470891170E-1,-2.343215048E-3,-4.829019308E-3,1.565265656E-2,1.654737869E-2
9.519158880E-1,1.427075267E-2,1.178795099E-2,8.402824402E-3,2.032775512E-2
9.567426060E-1,1.173573732E-2,6.938904524E-3,3.585815430E-3,1.409730467E-2
9.615693770E-1,-1.690902561E-2,1.396554708E-2,1.181602478E-3,2.196241874E-2
9.663960960E-1,-4.947751760E-3,6.725847721E-3,8.289337158E-3,1.176564429E-2
9.712228150E-1,6.942987442E-3,1.378372312E-2,1.533889771E-2,2.175954688E-2
9.760495850E-1,6.841078401E-3,4.172623158E-3,2.470111847E-2,2.596837290E-2
9.808763040E-1,-2.722367644E-3,1.731097698E-3,1.974964142E-2,2.001140477E-2
9.857030230E-1,4.344925284E-3,-1.727071404E-2,1.009178162E-2,2.046948938E-2
9.905297940E-1,1.615821570E-2,-1.001286507E-2,3.610992432E-2,4.080774480E-2
9.953565130E-1,1.743055880E-3,-1.708224416E-2,2.136230469E-4,1.717227254E-2
1.000183283E0,-3.059610724E-3,-2.737134695E-3,7.328033447E-3,8.399595129E-3
1.005010002E0,-6.469786167E-4,-7.406502962E-3,2.150535583E-2,2.275423471E-2
1.009836721E0,-1.489461958E-2,-9.722024202E-3,1.420783997E-2,2.276466920E-2
1.014663492E0,-1.478623599E-2,2.248197794E-3,1.409053802E-2,2.054824639E-2
1.019490210E0,6.648868322E-3,9.314239025E-3,9.225845337E-3,1.469961635E-2
1.024316981E0,4.176519811E-3,-2.661615610E-3,2.101135254E-2,2.158713624E-2
1.029143700E0,-2.963520586E-3,-2.614647150E-3,1.134586334E-2,1.201446832E-2
1.033970419E0,-1.244526356E-2,-9.745389223E-3,8.877754211E-3,1.812930545E-2
1.038797190E0,1.880846918E-3,-9.698033333E-3,1.354885101E-2,1.676785017E-2
1.043623908E0,4.223160446E-3,-1.303851604E-4,-3.173828125E-3,5.284436527E-3
1.048450679E0,6.575100124E-3,-9.654700756E-3,1.820850372E-2,2.163318738E-2
1.053277398E0,-6.115660071E-4,-1.464188099E-4,3.817558289E-3,3.869005394E-3
1.058104117E0,-1.011122763E-2,-1.505911350E-4,2.514076233E-2,2.709829390E-2
1.062930888E0,-5.220174789E-4,-7.243186235E-3,1.544094086E-2,1.706337902E-2
1.067757606E0,-2.935446799E-3,-1.190379262E-2,1.293849945E-2,1.782475511E-2
1.072584377E0,4.193603992E-3,-2.607607841E-2,1.520347595E-2,3.047447885E-2
1.077411096E0,8.890360594E-3,7.356584072E-3,1.270294189E-2,1.716165999E-2
1.082237815E0,1.114510000E-2,9.663432837E-3,1.496982574E-2,2.101644287E-2
1.087064585E0,-1.269319654E-2,4.833161831E-3,2.433681488E-2,2.787036509E-2
1.091891304E0,4.036180675E-3,-4.732191563E-3,9.895324707E-3,1.168767909E-2
1.096718023E0,-1.496626437E-2,-2.353698015E-3,2.879524231E-2,3.253759277E-2
1.101544794E0,1.836389303E-2,-1.183032990E-2,1.906299591E-2,2.899287992E-2
1.106371513E0,2.768748999E-2,2.500861883E-3,9.412765503E-3,2.935049516E-2
1.111198283E0,-3.405623138E-3,4.819035530E-3,3.068923950E-2,3.125141267E-2
1.116025002E0,8.501417935E-3,9.461581707E-3,-2.787590027E-3,1.302176230E-2
1.120851721E0,3.698229790E-3,-8.395314217E-5,6.728172302E-3,7.678037134E-3
1.125678492E0,3.622502089E-3,-7.206231356E-3,6.670951843E-3,1.046679943E-2
1.130505210E0,-1.197524369E-3,-7.150888443E-3,1.610660553E-2,1.766329561E-2
1.135331981E0,3.543317318E-3,4.797577858E-3,6.481170654E-3,8.807804719E-3
1.140158700E0,5.901768804E-3,7.154643536E-3,-7.808685303E-3,1.212416452E-2
1.144985419E0,3.494799137E-3,-7.147312164E-3,2.785015106E-2,2.896426430E-2
1.149812190E0,-1.318690926E-2,-2.318173647E-3,1.812553406E-2,2.253449555E-2
1.154638908E0,5.949474871E-3,9.846687317E-5,2.034854889E-2,2.120069312E-2
1.159465679E0,5.913309753E-3,9.584814310E-3,2.729797363E-2,2.952990454E-2
1.164292398E0,8.221164346E-3,-9.482443333E-3,3.341674805E-3,1.298734250E-2
1.169119117E0,-6.128713489E-3,-9.378939867E-3,2.229785919E-2,2.495436167E-2
1.173945888E0,5.772702396E-3,-2.187132835E-3,1.024723053E-2,1.196300031E-2
1.178772606E0,-3.751829267E-3,4.973888397E-3,1.728153229E-2,1.837027890E-2
1.183599377E0,-3.735475242E-3,4.898577929E-3,2.188301086E-2,2.273358761E-2
1.188426096E0,5.802288651E-3,-7.011681795E-3,3.452301025E-4,9.107657164E-3
1.193252815E0,1.023270190E-3,-2.119556069E-2,3.423690796E-4,2.122300854E-2
1.198079585E0,5.774773657E-3,1.222592592E-2,-2.033233643E-3,1.367316037E-2
1.202906304E0,8.054606616E-3,2.598971128E-3,1.459217072E-2,1.686898885E-2
1.207733075E0,-1.518957317E-3,-1.166468859E-2,4.978179932E-3,1.277319328E-2
1.212559794E0,3.195390105E-3,2.694278955E-3,1.205635071E-2,1.276029974E-2
1.217386513E0,-6.366848946E-3,1.927730441E-2,-4.655838013E-3,2.082853952E-2
1.222213283E0,-6.300374866E-3,1.583993435E-4,1.306533813E-4,6.303719862E-3
1.227040002E0,-8.635662496E-3,-4.593402147E-3,1.673889160E-2,1.938722523E-2
1.231866721E0,1.517937332E-2,-4.588991404E-3,2.361297607E-3,1.603271477E-2
1.236693492E0,7.919326425E-3,-4.613786936E-3,7.085800171E-3,1.158496116E-2
1.241520210E0,7.838420570E-3,4.911512136E-3,2.281188965E-3,9.527203766E-3
1.246346981E0,2.983257174E-3,9.640812874E-3,-4.856109619E-3,1.119941502E-2
1.251173700E0,-1.803122461E-3,-9.426921606E-3,2.303123474E-3,9.870282636E-3
1.256000471E0,-1.126620919E-2,9.601175785E-3,9.401321411E-3,1.753553222E-2
1.260827190E0,-8.814342320E-3,7.172763348E-3,4.578590393E-3,1.225172047E-2
1.265653908E0,-1.587445289E-2,7.137447596E-3,4.541397095E-3,1.798793207E-2
1.270480679E0,8.256062865E-4,-9.508430958E-3,9.249687195E-3,1.329092165E-2
1.275307398E0,-6.284810603E-3,-2.315551043E-3,-2.691268921E-3,7.218278835E-3
1.280134117E0,-8.621066809E-3,4.788875580E-3,6.821632385E-3,1.199127977E-2
1.284960888E0,-2.040022612E-2,4.715442657E-3,1.388359070E-2,2.512287236E-2
1.289787606E0,-1.072442532E-2,2.327740192E-3,2.088737488E-2,2.359478972E-2
1.294614377E0,-5.934201181E-3,-9.804964066E-5,8.846282959E-3,1.065274986E-2
