"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.923362020E-1,-8.038707078E-3,-7.260590792E-3,-6.369590759E-3,1.256617191E-2
6.971635980E-1,-1.510792226E-2,4.634141922E-3,-6.317138672E-3,1.701854363E-2
7.019909930E-1,1.669056714E-3,-2.156561613E-2,-6.266593933E-3,2.251958590E-2
7.068183890E-1,1.356145740E-2,2.341657877E-3,9.040832520E-4,1.379180390E-2
7.116457850E-1,-7.761940360E-4,3.316840529E-2,1.276111603E-2,3.554703461E-2
7.164731810E-1,3.987714648E-3,6.760090590E-3,7.896423340E-4,7.888233510E-3
7.213005770E-1,1.593269408E-3,6.673544645E-3,-3.964424133E-3,7.924100217E-3
7.261279730E-1,3.965541720E-3,-5.276978016E-3,-1.559257507E-3,6.782573412E-3
7.309553680E-1,-7.948480546E-3,-1.475504041E-2,-1.546859741E-3,1.683099330E-2
7.357827640E-1,8.800052106E-3,-4.548132420E-4,-3.908157349E-3,9.639578104E-3
7.406101600E-1,-1.261754334E-2,6.666660309E-3,3.243446350E-3,1.463443555E-2
7.454375560E-1,8.824981749E-3,1.610201597E-2,-1.530647278E-3,1.842547428E-2
7.502649520E-1,2.774617821E-2,1.590839028E-2,8.535385132E-4,3.199462165E-2
7.550923480E-1,-8.036382496E-3,-8.940696716E-4,5.590438843E-3,9.830351502E-3
7.599197430E-1,-1.504616439E-2,-3.260761499E-3,-6.319999695E-3,1.664217608E-2
7.647471390E-1,1.731291413E-3,3.883838654E-3,-8.640289307E-3,9.629962199E-3
7.695745350E-1,-2.988986671E-3,2.286311984E-2,1.041507721E-2,2.530079294E-2
7.744019310E-1,6.539113820E-3,1.315683126E-3,-3.910064697E-3,7.731729274E-3
7.792293270E-1,1.590111107E-2,-2.005246282E-2,5.614280701E-3,2.620051041E-2
7.840566710E-1,1.512750983E-3,-5.677938461E-3,-1.104450226E-2,1.251033296E-2
7.888841180E-1,-3.291413188E-3,-8.004754782E-3,1.277542114E-2,1.543116604E-2
7.937114620E-1,-5.655415356E-3,-5.536556244E-3,8.058547974E-4,7.955286283E-3
7.985388580E-1,3.836445510E-3,1.349171996E-2,-3.948211670E-3,1.457165732E-2
8.033662540E-1,1.324920356E-2,-3.261089325E-3,-6.289482117E-3,1.502443623E-2
8.081936500E-1,8.374474943E-3,-8.616447449E-4,3.253936768E-3,9.025650487E-3
8.130210460E-1,-8.324034512E-3,-2.458390594E-2,-1.520156860E-3,2.599940112E-2
8.178484410E-1,-1.299173385E-2,1.751840115E-3,-3.879547119E-3,1.367131954E-2
8.226758370E-1,3.709152341E-3,2.071940899E-2,3.272056580E-3,2.130159793E-2
8.275032330E-1,1.285813749E-3,1.582986116E-2,-6.245613098E-3,1.706591645E-2
8.323306290E-1,-5.861096084E-3,-1.512119174E-2,-6.192207336E-3,1.735932944E-2
8.371580250E-1,-3.455936909E-3,-5.534172058E-3,-3.769874573E-3,7.535417346E-3
8.419854210E-1,3.703176975E-3,-7.832616568E-3,1.524639130E-2,1.753612983E-2
8.468128160E-1,-1.061774790E-3,-1.251402497E-2,-1.491546631E-3,1.264724864E-2
8.516402120E-1,-5.816236138E-3,-1.238143444E-2,-3.850936890E-3,1.421120109E-2
8.564676080E-1,-5.757093430E-3,1.147919893E-2,8.046150208E-3,1.515442728E-2
8.612950040E-1,-5.667217076E-3,4.263669252E-3,5.607604980E-3,9.041098301E-3
8.661224000E-1,-1.987583935E-2,-2.891153097E-3,8.153915405E-4,2.010155764E-2
8.709497960E-1,-7.447078824E-4,-2.838790417E-3,3.182411194E-3,4.329094809E-3
8.757771910E-1,-3.070466220E-3,-7.561862469E-3,7.900238037E-3,1.135884184E-2
8.806045870E-1,-6.008744240E-4,-4.106760025E-4,-8.774757385E-3,8.804889098E-3
8.854319310E-1,1.130945235E-2,9.054064751E-3,7.886886597E-4,1.450868122E-2
8.902593790E-1,1.706115901E-3,-5.138516426E-4,-1.591682434E-3,2.389210738E-3
8.950867230E-1,-3.072410822E-3,6.608456373E-3,-1.578330994E-3,7.456710576E-3
8.999141180E-1,-1.018301398E-2,1.604396105E-2,7.925987244E-3,2.058940829E-2
9.047415140E-1,-5.340710282E-3,1.701235771E-3,-8.748054504E-3,1.038969909E-2
9.095689100E-1,-5.367994308E-4,1.117706299E-2,8.163452148E-4,1.121968405E-2
