"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.409794790E-1,-7.913455367E-3,1.086255908E-2,2.699851990E-3,1.370792349E-2
6.458066140E-1,1.587578654E-2,-5.852907896E-3,7.422447205E-3,1.847673812E-2
6.506337500E-1,-5.587756634E-3,-8.191972971E-3,2.412796021E-4,9.919156275E-3
6.554608850E-1,-3.201067448E-3,1.327550411E-2,1.447772980E-2,1.990202257E-2
6.602879680E-1,-7.895454764E-3,6.089717150E-3,9.612083435E-3,1.384972956E-2
6.651151040E-1,-3.176108003E-3,6.053209305E-3,4.100799561E-5,6.835984683E-3
6.699422390E-1,-1.030203700E-2,3.644078970E-3,-4.704475403E-3,1.189719995E-2
6.747693750E-1,-5.475953221E-3,6.030350924E-3,8.106231689E-5,8.146027685E-3
6.795965100E-1,-5.464069545E-3,-1.095086336E-3,8.106231689E-5,5.573315098E-3
6.844236460E-1,-1.013860106E-2,-8.161336184E-3,-4.662513733E-3,1.382525494E-2
6.892507810E-1,1.776538789E-3,3.785312176E-3,7.240295410E-3,8.361014051E-3
6.940779160E-1,1.787431538E-3,-1.007169485E-3,1.192569733E-2,1.210089082E-2
6.989050520E-1,8.887656033E-3,6.104707718E-3,1.894378662E-2,2.179736080E-2
7.037321870E-1,8.809059858E-3,1.793247461E-2,1.878547668E-2,2.742384575E-2
7.085592710E-1,4.013583064E-3,8.305996656E-3,1.625728607E-2,1.869218500E-2
7.133864060E-1,-1.506590098E-2,1.132398844E-3,-7.606506348E-3,1.691516002E-2
7.182135410E-1,8.754715323E-3,-1.310008764E-2,9.065628052E-3,1.817808980E-2
7.230406770E-1,-5.617521703E-3,-1.141697168E-3,4.244804382E-3,7.132908716E-3
7.278678120E-1,6.258949637E-3,-5.892693996E-3,1.835823059E-3,8.790252522E-3
7.326949480E-1,-8.007794619E-3,-1.083135605E-3,6.567001343E-3,1.041265884E-2
7.375220830E-1,1.575201005E-2,6.059229374E-3,-1.009845734E-2,1.966771267E-2
7.423492180E-1,1.407146454E-3,-5.899667740E-3,1.371383667E-2,1.499518112E-2
7.471763540E-1,1.361660659E-3,8.401036263E-3,8.852958679E-3,1.228032603E-2
7.520034890E-1,-3.458432853E-3,-5.921244621E-3,-3.086090088E-3,7.519697314E-3
7.568306250E-1,1.074669138E-2,6.006360054E-3,-1.017856598E-2,1.597407093E-2
7.616577080E-1,1.299626008E-2,5.970537663E-3,-2.975463867E-3,1.460833602E-2
7.664848430E-1,5.764782429E-3,-1.070442796E-2,-1.006984711E-2,1.578668157E-2
7.713119790E-1,-1.570118964E-2,6.009042263E-3,8.996963501E-3,1.906780788E-2
7.761391140E-1,-3.710463643E-3,-1.063701510E-2,6.549835205E-3,1.303126901E-2
7.809662500E-1,-1.399874687E-3,-1.999619603E-2,1.598739624E-2,2.563989749E-2
7.857933850E-1,9.509101510E-4,-5.578041077E-3,-3.129005432E-3,6.466022530E-3
7.906205210E-1,3.281109035E-3,-7.421076298E-4,-1.733875275E-2,1.766207086E-2
7.954476560E-1,3.249235451E-3,-1.495897770E-2,-2.957344055E-3,1.559084439E-2
8.002747910E-1,-6.303124130E-3,-2.926439047E-3,-2.931594849E-3,7.542391375E-3
8.051019270E-1,3.207169473E-3,1.857966185E-3,-5.278587341E-3,6.449919278E-3
8.099290100E-1,-1.598075032E-3,1.856535673E-3,-2.862930298E-3,3.767882483E-3
8.147561460E-1,1.733531803E-2,-5.292594433E-3,4.279136658E-3,1.862352860E-2
8.195832810E-1,-1.840690523E-2,1.884430647E-3,-5.035400391E-4,1.850996466E-2
8.244104160E-1,-8.767507970E-3,6.628960371E-3,1.136589050E-2,1.581125481E-2
8.292375520E-1,-1.344574243E-2,-1.473855972E-2,1.127338409E-2,2.291511120E-2
8.340646870E-1,-3.934375942E-3,4.381567240E-3,1.592540741E-2,1.697928287E-2
